Item name,Mod name,Cost,Total Emerald,Chance
Sandcastle,Simplehats,48 x Emerald,48,0.10%
Stackofeggs,Simplehats,48 x Emerald,48,0.10%
Teddy Bear,Simplehats,48 x Emerald,48,0.10%
Tvhead,Simplehats,48 x Emerald,48,0.10%
Twilight Doll,Simplehats,48 x Emerald,48,0.10%
Tr Blank,Simpletms,48 x Emerald,48,0.10%
Tom'sAdv Wireless Terminal,Toms Storage,64 x Emerald,64,1.69%
Magic Bag 3,Wands,64 x Emerald,64,1.69%
Netherite Wand,Wands,64 x Emerald,64,1.69%
Raw Aerodactylite,Megamons,12 x Emerald Block,108,0.19%
Raw Alakazite,Megamons,12 x Emerald Block,108,0.19%
Raw Ampharosite,Megamons,12 x Emerald Block,108,0.19%
Raw Banettite,Megamons,12 x Emerald Block,108,0.19%
Raw Beedrillite,Megamons,12 x Emerald Block,108,0.19%
Raw Blastoisinite,Megamons,12 x Emerald Block,108,0.19%
Raw Charizarditex,Megamons,12 x Emerald Block,108,0.19%
Raw Charizarditey,Megamons,12 x Emerald Block,108,0.19%
Raw Galladite,Megamons,12 x Emerald Block,108,0.19%
Raw Garchompite,Megamons,12 x Emerald Block,108,0.19%
Raw Gardevoirite,Megamons,12 x Emerald Block,108,0.19%
Raw Gengarite,Megamons,12 x Emerald Block,108,0.19%
Raw Glalitite,Megamons,12 x Emerald Block,108,0.19%
Raw Gyaradosite,Megamons,12 x Emerald Block,108,0.19%
Raw Kangaskhanite,Megamons,12 x Emerald Block,108,0.19%
Raw Mawilite,Megamons,12 x Emerald Block,108,0.19%
Raw Mewtwonitex,Megamons,12 x Emerald Block,108,0.19%
Raw Mewtwonitey,Megamons,12 x Emerald Block,108,0.19%
Raw Pidgeotite,Megamons,12 x Emerald Block,108,0.19%
Raw Pinsirite,Megamons,12 x Emerald Block,108,0.19%
Raw Sablenite,Megamons,12 x Emerald Block,108,0.19%
Raw Scizorite,Megamons,12 x Emerald Block,108,0.19%
Raw Sharpedonite,Megamons,12 x Emerald Block,108,0.19%
Raw Slowbronite,Megamons,12 x Emerald Block,108,0.19%
Raw Steelixite,Megamons,12 x Emerald Block,108,0.19%
Raw Tyranitarite,Megamons,12 x Emerald Block,108,0.19%
Raw Venusaurite,Megamons,12 x Emerald Block,108,0.19%
Spawn Egg Cubozoa,Betterend,16 x Emerald Block,144,0.11%
Spawn Egg End Fish,Betterend,16 x Emerald Block,144,0.11%
Spawn Egg Shadow Walker,Betterend,16 x Emerald Block,144,0.11%
Bamboo Creeper Spawn Egg,Creeperoverhaul,16 x Emerald Block,144,0.11%
Glare Spawn Egg,Friendsandfoes,16 x Emerald Block,144,0.11%
Mauler Spawn Egg,Friendsandfoes,16 x Emerald Block,144,0.11%
Rascal Spawn Egg,Friendsandfoes,16 x Emerald Block,144,0.11%
Hamster Spawn Egg,Hamsters,16 x Emerald Block,144,0.11%
Necromancer Spawn Egg,Illagerinvasion,16 x Emerald Block,144,0.11%
Allay Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Axolotl Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Bat Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Bee Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Camel Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Cat Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Dolphin Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Donkey Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Endermite Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Frog Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Glow Squid Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Goat Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Ocelot Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Panda Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Parrot Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Pillager Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Polar Bear Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Snow Golem Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Squid Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Tadpole Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Vex Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Wolf Spawn Egg,Minecraft,16 x Emerald Block,144,0.11%
Alligator Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Bear Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Butterfly Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Caterpillar Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Dragonfly Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Firefly Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Giraffe Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Hippo Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Lion Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Lizard Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Tortoise Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Zebra Spawn Egg,Naturalist,16 x Emerald Block,144,0.11%
Ribbit Nitwit Spawn Egg,Ribbits,16 x Emerald Block,144,0.11%
Ribbit Sorcerer Spawn Egg,Ribbits,16 x Emerald Block,144,0.11%
Tm Blank,Simpletms,16 x Emerald Block,144,0.11%
Spawn Egg Dragonfly,Betterend,24 x Emerald Block,216,0.12%
Spawn Egg Silk Moth,Betterend,24 x Emerald Block,216,0.12%
Snowy Creeper Spawn Egg,Creeperoverhaul,24 x Emerald Block,216,0.12%
Tuff Golem Spawn Egg,Friendsandfoes,24 x Emerald Block,216,0.12%
Basher Spawn Egg,Illagerinvasion,24 x Emerald Block,216,0.12%
Provoker Spawn Egg,Illagerinvasion,24 x Emerald Block,216,0.12%
Cod Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Horse Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Husk Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Llama Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Mule Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Pig Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Piglin Brute Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Piglin Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Pufferfish Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Rabbit Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Ravager Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Salmon Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Sheep Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Silverfish Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Skeleton Horse Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Sniffer Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Spider Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Strider Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Trader Llama Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Tropical Fish Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Turtle Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Vindicator Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Zoglin Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Zombie Horse Spawn Egg,Minecraft,24 x Emerald Block,216,0.12%
Bass Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Bluejay Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Canary Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Cardinal Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Catfish Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Elephant Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Finch Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Rhino Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Robin Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Sparrow Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Vulture Spawn Egg,Naturalist,24 x Emerald Block,216,0.12%
Ribbit Fisherman Spawn Egg,Ribbits,24 x Emerald Block,216,0.12%
Ribbit Gardener Spawn Egg,Ribbits,24 x Emerald Block,216,0.12%
Ribbit Merchant Spawn Egg,Ribbits,24 x Emerald Block,216,0.12%
Spawn Egg End Slime,Betterend,32 x Emerald Block,288,0.13%
Hills Creeper Spawn Egg,Creeperoverhaul,32 x Emerald Block,288,0.13%
Jungle Creeper Spawn Egg,Creeperoverhaul,32 x Emerald Block,288,0.13%
Mushroom Creeper Spawn Egg,Creeperoverhaul,32 x Emerald Block,288,0.13%
Ocean Creeper Spawn Egg,Creeperoverhaul,32 x Emerald Block,288,0.13%
Savannah Creeper Spawn Egg,Creeperoverhaul,32 x Emerald Block,288,0.13%
Badlands Enderman Spawn Egg,Endermanoverhaul,32 x Emerald Block,288,0.13%
Coral Enderman Spawn Egg,Endermanoverhaul,32 x Emerald Block,288,0.13%
Dark Oak Enderman Spawn Egg,Endermanoverhaul,32 x Emerald Block,288,0.13%
Desert Enderman Spawn Egg,Endermanoverhaul,32 x Emerald Block,288,0.13%
Flower Fields Enderman Spawn Egg,Endermanoverhaul,32 x Emerald Block,288,0.13%
Moobloom Spawn Egg,Friendsandfoes,32 x Emerald Block,288,0.13%
Firecaller Spawn Egg,Illagerinvasion,32 x Emerald Block,288,0.13%
Sorcerer Spawn Egg,Illagerinvasion,32 x Emerald Block,288,0.13%
Cave Spider Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Chicken Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Cow Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Creeper Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Drowned Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Enderman Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Ghast Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Hoglin Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Magma Cube Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Mooshroom Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Phantom Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Skeleton Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Slime Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Stray Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Wither Skeleton Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Zombie Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Zombie Villager Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Zombified Piglin Spawn Egg,Minecraft,32 x Emerald Block,288,0.13%
Boar Spawn Egg,Naturalist,32 x Emerald Block,288,0.13%
Coral Snake Spawn Egg,Naturalist,32 x Emerald Block,288,0.13%
Duck Spawn Egg,Naturalist,32 x Emerald Block,288,0.13%
Duck Spawn Egg,Naturalist,32 x Emerald Block,288,0.13%
Rattlesnake Spawn Egg,Naturalist,32 x Emerald Block,288,0.13%
Snail Spawn Egg,Naturalist,32 x Emerald Block,288,0.13%
Snake Spawn Egg,Naturalist,32 x Emerald Block,288,0.13%
Badlands Creeper Spawn Egg,Creeperoverhaul,48 x Emerald Block,432,0.20%
Cave Creeper Spawn Egg,Creeperoverhaul,48 x Emerald Block,432,0.20%
Desert Creeper Spawn Egg,Creeperoverhaul,48 x Emerald Block,432,0.20%
Dripstone Creeper Spawn Egg,Creeperoverhaul,48 x Emerald Block,432,0.20%
Spruce Creeper Spawn Egg,Creeperoverhaul,48 x Emerald Block,432,0.20%
Swamp Creeper Spawn Egg,Creeperoverhaul,48 x Emerald Block,432,0.20%
Crimson Forest Enderman Spawn Egg,Endermanoverhaul,48 x Emerald Block,432,0.20%
End Islands Enderman Spawn Egg,Endermanoverhaul,48 x Emerald Block,432,0.20%
Mushroom Fields Enderman Spawn Egg,Endermanoverhaul,48 x Emerald Block,432,0.20%
Nether Wastes Enderman Spawn Egg,Endermanoverhaul,48 x Emerald Block,432,0.20%
Soulsand Valley Enderman Spawn Egg,Endermanoverhaul,48 x Emerald Block,432,0.20%
Swamp Enderman Spawn Egg,Endermanoverhaul,48 x Emerald Block,432,0.20%
Warped Forest Enderman Spawn Egg,Endermanoverhaul,48 x Emerald Block,432,0.20%
Windswept Hills Enderman Spawn Egg,Endermanoverhaul,48 x Emerald Block,432,0.20%
Copper Golem Spawn Egg,Friendsandfoes,48 x Emerald Block,432,0.20%
Guard Spawn Egg,Guardvillagers,48 x Emerald Block,432,0.20%
Alchemist Spawn Egg,Illagerinvasion,48 x Emerald Block,432,0.20%
Archivist Spawn Egg,Illagerinvasion,48 x Emerald Block,432,0.20%
Blaze Spawn Egg,Minecraft,48 x Emerald Block,432,0.20%
Fox Spawn Egg,Minecraft,48 x Emerald Block,432,0.20%
Iron Golem Spawn Egg,Minecraft,48 x Emerald Block,432,0.20%
Shulker Spawn Egg,Minecraft,48 x Emerald Block,432,0.20%
Villager Spawn Egg,Minecraft,48 x Emerald Block,432,0.20%
Witch Spawn Egg,Minecraft,48 x Emerald Block,432,0.20%
Deer Spawn Egg,Naturalist,48 x Emerald Block,432,0.20%
Mimic Spawn Egg,Artifacts,64 x Emerald Block,576,0.42%
Beach Creeper Spawn Egg,Creeperoverhaul,64 x Emerald Block,576,0.42%
Dark Oak Creeper Spawn Egg,Creeperoverhaul,64 x Emerald Block,576,0.42%
Cave Enderman Spawn Egg,Endermanoverhaul,64 x Emerald Block,576,0.42%
End Enderman Spawn Egg,Endermanoverhaul,64 x Emerald Block,576,0.42%
Ice Spikes Enderman Spawn Egg,Endermanoverhaul,64 x Emerald Block,576,0.42%
Savanna Enderman Spawn Egg,Endermanoverhaul,64 x Emerald Block,576,0.42%
Snowy Enderman Spawn Egg,Endermanoverhaul,64 x Emerald Block,576,0.42%
Iceologer Spawn Egg,Friendsandfoes,64 x Emerald Block,576,0.42%
Illusioner Spawn Egg,Friendsandfoes,64 x Emerald Block,576,0.42%
Evoker Spawn Egg,Minecraft,64 x Emerald Block,576,0.42%
Guardian Spawn Egg,Minecraft,64 x Emerald Block,576,0.42%
